City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
381,nikolayevsk-on-amure,53.1406,140.73,66.78,99,100,2.1,RU
382,acajutla,13.5928,-89.8275,79.14,70,36,6.42,SV
383,takedamachi,32.9667,131.4,80.78,95,49,2.51,JP
384,saurimo,-9.6608,20.3916,91.47,16,0,5.32,AO
385,motueka,-41.1333,173.0167,39.09,79,55,4.92,NZ
386,chibougamau,49.9168,-74.3659,64.02,72,0,7.0,CA
387,kirensk,57.7853,108.1119,67.37,87,97,5.01,RU
388,yuzhno-kurilsk,44.0306,145.8556,63.55,98,53,3.89,RU
389,am timan,11.0297,20.2827,82.18,67,90,6.33,TD
390,nadi,-17.8,177.4167,71.6,83,75,8.05,FJ
391,nantucket,41.2835,-70.0995,77.09,87,26,11.23,US
392,daru,-9.0763,143.2092,76.68,86,68,11.7,PG
393,mount pearl,47.5166,-52.7813,75.54,60,40,14.97,CA
394,zungeru,9.8128,6.1558,85.98,54,46,3.62,NG
395,san luis de la loma,17.2706,-100.8939,78.48,73,72,4.14,MX
396,markovo,57.3206,107.0881,71.4,78,86,1.54,RU
397,salekhard,66.53,66.6019,68.0,82,99,6.46,RU
398,san andres,12.5847,-81.7006,82.42,83,20,14.97,CO
399,pagar alam,-4.0167,103.2667,70.72,98,76,3.47,ID
400,balqash,46.8481,74.995,97.39,19,0,8.95,KZ
401,trapani,37.8333,12.6667,86.27,51,20,17.27,IT
402,montpon-menesterol,45.0,0.1667,71.65,69,84,7.96,FR
403,chimoio,-19.1164,33.4833,66.06,68,75,5.97,MZ
404,arkalyk,50.2486,66.9114,80.56,41,88,7.31,KZ
405,pierre,44.3683,-100.351,70.72,78,0,10.36,US
406,ixtapa,20.7,-105.2,80.22,100,40,0.0,MX
407,belgaum,15.8667,74.5,73.31,94,75,13.8,IN
408,acarau,-2.8856,-40.12,83.88,53,19,16.46,BR
409,tomohon,1.3346,124.8392,74.34,95,77,3.58,ID
410,nabire,-3.3667,135.4833,78.46,88,92,1.54,ID
411,mangalia,43.8,28.5833,89.24,46,14,21.47,RO
412,alaghsas,17.0187,8.0168,102.09,32,0,9.22,NE
413,berezovyy,51.6667,135.7,65.34,98,74,1.34,RU
414,mandali,33.7499,45.5541,113.31,7,0,15.9,IQ
415,mulayjah,27.271,48.4242,117.63,5,24,5.99,SA
416,susuman,62.7833,148.1667,55.51,80,89,6.29,RU
417,vangaindrano,-23.35,47.6,70.9,54,38,11.79,MG
